visitor_id,test_group,visit_date,device_type,location,visitor_type,converted,order_value,bounce,pages_session,select_test
10001,Control,2023-10-15,Desktop,USA,Returning,0,0.0,0,3,Product Page Layout
10002,Control,2023-10-15,Desktop,USA,New,1,116.48,0,4,Homepage Redesign
10003,Variant B,2023-10-15,Desktop,USA,Returning,1,99.37,0,4,Product Page Layout
10004,Control,2023-10-15,Desktop,UK,New,0,0.0,1,1,Product Page Layout
10005,Variant B,2023-10-15,Mobile,Canada,New,0,0.0,1,1,Promotional Banner Test
10006,Variant B,2023-10-15,Mobile,UK,New,0,0.0,1,1,Product Page Layout
10007,Control,2023-10-15,Desktop,USA,New,0,0.0,0,2,Homepage Redesign
10008,Control,2023-10-15,Desktop,USA,Returning,0,0.0,0,3,Checkout Process Update
10009,Variant B,2023-10-15,Desktop,USA,Returning,0,0.0,1,1,Homepage Redesign
10010,Variant B,2023-10-15,Mobile,USA,New,0,0.0,1,1,Product Page Layout
10011,Variant B,2023-10-15,Tablet,USA,Returning,0,0.0,0,2,Homepage Redesign
10012,Control,2023-10-15,Desktop,USA,New,0,0.0,0,2,Checkout Process Update
10013,Control,2023-10-15,Tablet,USA,New,0,0.0,1,1,Checkout Process Update
10014,Variant B,2023-10-15,Desktop,USA,New,0,0.0,1,1,Product Page Layout
10015,Variant B,2023-10-15,Desktop,Canada,Returning,0,0.0,1,1,Promotional Banner Test
10016,Control,2023-10-15,Desktop,USA,Returning,0,0.0,1,1,Product Page Layout
10017,Control,2023-10-15,Tablet,UK,New,0,0.0,0,4,Product Page Layout
10018,Variant B,2023-10-15,Mobile,Canada,New,1,108.15,0,4,Homepage Redesign
10019,Variant B,2023-10-15,Tablet,Canada,New,0,0.0,0,3,Homepage Redesign
10020,Control,2023-10-15,Mobile,USA,Returning,0,0.0,1,1,Promotional Banner Test
10021,Variant B,2023-10-15,Desktop,UK,New,0,0.0,1,1,Checkout Process Update
10022,Control,2023-10-15,Desktop,UK,New,0,0.0,1,1,Product Page Layout
10023,Control,2023-10-15,Desktop,USA,New,0,0.0,1,1,Homepage Redesign
10024,Control,2023-10-15,Tablet,UK,New,0,0.0,0,2,Product Page Layout
10025,Control,2023-10-15,Tablet,USA,New,0,0.0,0,6,Homepage Redesign
10026,Control,2023-10-15,Desktop,USA,New,0,0.0,0,1,Homepage Redesign
10027,Control,2023-10-15,Desktop,USA,Returning,0,0.0,1,1,Promotional Banner Test
10028,Control,2023-10-15,Desktop,USA,Returning,0,0.0,0,2,Checkout Process Update
10029,Control,2023-10-15,Tablet,Canada,Returning,0,0.0,0,3,Product Page Layout
10030,Control,2023-10-15,Desktop,USA,New,0,0.0,0,2,Homepage Redesign
10031,Variant B,2023-10-15,Mobile,USA,Returning,0,0.0,1,1,Checkout Process Update
10032,Control,2023-10-15,Desktop,UK,New,0,0.0,0,3,Product Page Layout
10033,Variant B,2023-10-15,Mobile,UK,New,0,0.0,1,1,Homepage Redesign
10034,Variant B,2023-10-15,Mobile,USA,New,0,0.0,1,1,Homepage Redesign
10035,Variant B,2023-10-15,Desktop,USA,New,0,0.0,1,1,Product Page Layout
10036,Control,2023-10-15,Desktop,Canada,New,0,0.0,0,4,Product Page Layout
10037,Control,2023-10-15,Tablet,UK,New,0,0.0,1,1,Homepage Redesign
10038,Variant B,2023-10-15,Tablet,USA,New,0,0.0,0,1,Promotional Banner Test
10039,Variant B,2023-10-15,Mobile,USA,Returning,0,0.0,0,3,Product Page Layout
10040,Control,2023-10-15,Desktop,USA,New,0,0.0,0,3,Promotional Banner Test
10041,Control,2023-10-15,Mobile,USA,New,0,0.0,0,2,Product Page Layout
10042,Control,2023-10-15,Desktop,USA,Returning,0,0.0,1,1,Homepage Redesign
10043,Variant B,2023-10-15,Desktop,USA,New,0,0.0,0,5,Product Page Layout
10044,Variant B,2023-10-15,Mobile,USA,New,0,0.0,0,1,Product Page Layout
10045,Variant B,2023-10-15,Tablet,USA,New,0,0.0,0,1,Promotional Banner Test
10046,Control,2023-10-15,Mobile,USA,Returning,0,0.0,0,4,Promotional Banner Test
10047,Variant B,2023-10-15,Desktop,Canada,New,0,0.0,0,3,Promotional Banner Test
10048,Variant B,2023-10-15,Desktop,Canada,New,0,0.0,0,1,Promotional Banner Test
10049,Variant B,2023-10-15,Mobile,USA,Returning,0,0.0,1,1,Homepage Redesign
10050,Control,2023-10-15,Tablet,UK,New,0,0.0,1,1,Homepage Redesign
10051,Variant B,2023-10-15,Tablet,USA,Returning,0,0.0,0,6,Promotional Banner Test
10052,Control,2023-10-15,Desktop,Canada,New,0,0.0,1,1,Checkout Process Update
10053,Variant B,2023-10-15,Desktop,Canada,New,0,0.0,1,1,Checkout Process Update
10054,Variant B,2023-10-15,Mobile,USA,New,0,0.0,1,1,Product Page Layout
10055,Variant B,2023-10-15,Mobile,USA,New,0,0.0,1,1,Checkout Process Update
10056,Control,2023-10-15,Desktop,UK,Returning,0,0.0,0,4,Checkout Process Update
10057,Variant B,2023-10-15,Desktop,USA,New,0,0.0,0,4,Checkout Process Update
10058,Control,2023-10-15,Desktop,USA,Returning,0,0.0,1,1,Checkout Process Update
10059,Variant B,2023-10-15,Mobile,USA,Returning,0,0.0,0,2,Homepage Redesign
10060,Control,2023-10-15,Desktop,USA,New,0,0.0,1,1,Homepage Redesign
10061,Variant B,2023-10-15,Desktop,Canada,New,0,0.0,0,1,Checkout Process Update
10062,Variant B,2023-10-15,Mobile,USA,New,0,0.0,0,4,Homepage Redesign
10063,Control,2023-10-15,Desktop,Canada,New,0,0.0,0,4,Product Page Layout
10064,Variant B,2023-10-15,Tablet,UK,New,0,0.0,1,1,Promotional Banner Test
10065,Variant B,2023-10-15,Tablet,Canada,New,0,0.0,1,1,Promotional Banner Test
10066,Variant B,2023-10-15,Mobile,Canada,New,0,0.0,1,1,Product Page Layout
10067,Control,2023-10-15,Mobile,USA,New,0,0.0,0,1,Checkout Process Update
10068,Control,2023-10-15,Mobile,USA,New,0,0.0,0,2,Homepage Redesign
10069,Variant B,2023-10-15,Tablet,Canada,New,1,130.13,0,4,Product Page Layout
10070,Variant B,2023-10-15,Tablet,USA,Returning,0,0.0,0,4,Promotional Banner Test
10071,Control,2023-10-15,Desktop,USA,New,0,0.0,1,1,Homepage Redesign
10072,Control,2023-10-15,Desktop,Canada,New,0,0.0,1,1,Homepage Redesign
10073,Variant B,2023-10-15,Desktop,USA,New,0,0.0,1,1,Homepage Redesign
10074,Variant B,2023-10-15,Desktop,Canada,Returning,0,0.0,1,1,Checkout Process Update
10075,Variant B,2023-10-15,Tablet,USA,Returning,0,0.0,0,3,Homepage Redesign
10076,Variant B,2023-10-15,Desktop,USA,New,0,0.0,0,2,Promotional Banner Test
10077,Control,2023-10-15,Mobile,Canada,New,0,0.0,0,1,Product Page Layout
